species,alat,energy,order_d,led,status
Si,1.1351240234375017,77143.52428822115,0,-0.0018656860750828248,True
Si,1.1451240234375017,75288.65676798006,0,-0.0017294546729923845,True
Si,1.1551240234375018,73483.46875363185,0,-0.0016058655940772344,True
Si,1.1651240234375018,71725.78289289177,0,-0.0014939325968346868,True
Si,1.1751240234375018,70013.56777693894,0,-0.0013927888018467152,True
Si,1.1851240234375018,68344.92830522277,0,-0.00130171988348593,True
Si,1.1951240234375018,66718.09672186736,0,-0.001220046945187884,True
Si,1.2051240234375018,65131.42425893873,0,-0.0011472190575053294,True
Si,1.2151240234375018,63583.37332612556,0,-0.0010827588387959015,True
Si,1.2251240234375018,62072.510190457484,0,-0.0010262221306523618,True
Si,1.2351240234375016,60597.49809299072,0,-0.0009772436981923722,True
Si,1.2451240234375018,59157.0907522551,0,-0.0009354898659997464,True
Si,1.2551240234375016,57750.126206921195,0,-0.0009006099183655654,True
Si,1.2651240234375016,56375.5209523381,0,-0.0008722673301235773,True
Si,1.2751240234375016,55032.26432759425,0,-0.0008500447668969475,True
Si,1.2851240234375017,53719.413111857866,0,-0.0008334312587976456,True
Si,1.2951240234375017,52436.08629077302,0,-0.0008217139269011871,True
Si,1.3051240234375017,51181.45995619099,0,-0.0008139637114557747,True
Si,1.3151240234375017,49954.76230558276,0,-0.0008088053764367942,True
Si,1.3251240234375017,48755.26871175542,0,-0.0008043846294943553,True
Si,1.3351240234375017,47582.29683907001,0,-0.0007981508533703163,True
Si,1.3451240234375017,46435.20179060917,0,-0.0007865929267912481,True
Si,1.3551240234375017,45313.37128186943,0,-0.0007651389787497465,True
Si,1.3651240234375017,44216.22085185608,0,-0.0007278438473197941,True
Si,1.3751240234375017,43143.18914352561,0,-0.0006673211015974326,True
Si,1.3851240234375017,42093.733312951845,0,-0.0005747986033384223,True
Si,1.3951240234375017,41067.324662262836,0,-0.00044057001772065024,True
Si,1.4051240234375018,40063.444635714295,0,-0.0002551117516607822,True
Si,1.4151240234375018,39081.58137089795,0,-1.1299770752278466e-05,True
Si,1.4251240234375018,38121.22705532144,0,0.00029182853298455785,True
Si,1.4351240234375018,37181.87639573783,0,0.0006432408748272185,True
Si,1.4451240234375018,36263.026550346956,0,0.0010121024194328734,True
Si,1.4551240234375018,35364.178879766616,0,0.001339189008528289,True
Si,1.4651240234375018,34484.84280647783,0,0.0015315768511451702,True
Si,1.4751240234375018,33624.54188743935,0,0.001469183380928977,True
Si,1.4851240234375016,32782.821849221735,0,0.001036727917380631,True
Si,1.4951240234375018,31959.259777468436,0,0.00019441971259463267,True
Si,1.5051240234375016,31153.47293199609,0,-0.0009208550394153765,True
Si,1.5151240234375019,30365.12496716203,0,-0.0019320257979416056,True
Si,1.5251240234375016,29593.927098382548,0,-0.0023412349401041865,True
Si,1.5351240234375017,28839.632577002678,0,-0.0019184238456849319,True
Si,1.5451240234375017,28102.02509814141,0,-0.0010437788187118713,True
Si,1.5551240234375017,27380.904753282084,0,-0.00037058451380289625,True
Si,1.5651240234375017,26676.076519729293,0,-8.49602996216466e-05,True
Si,1.5751240234375017,25987.343997935975,0,4.617782785013939e-05,True
Si,1.5851240234375017,25314.50718799636,0,0.00016863119041469568,True
Si,1.5951240234375017,24657.361979884154,0,0.0002956770440505352,True
Si,1.6051240234375017,24015.700430519486,0,0.00041097002334330074,True
Si,1.6151240234375017,23389.311775556067,0,0.0004883857842893727,True
Si,1.6251240234375017,22777.984203443433,0,0.0004931151336980595,True
Si,1.6351240234375017,22181.5073212471,0,0.0003867399736918742,True
Si,1.6451240234375017,21599.6750849633,0,0.00014024722743973445,True
Si,1.6551240234375018,21032.288758209743,0,-0.00024344831217604224,True
Si,1.6651240234375018,20479.15923266549,0,-0.0007024468929254605,True
Si,1.6751240234375018,19940.107869554304,0,-0.0011042363997451805,True
Si,1.6851240234375018,19414.965038954793,0,-0.0012843818913097493,True
Si,1.6951240234375016,18903.565905119038,0,-0.0011549524400228013,True
Si,1.7051240234375018,18405.743801054203,0,-0.0008134822837746469,True
Si,1.7151240234375016,17921.32252223119,0,-0.0004883188351717156,True
Si,1.7251240234375018,17450.10939687,0,-0.0003082255101010863,True
Si,1.7351240234375016,16991.890405046037,0,-0.00021357307772026007,True
Si,1.7451240234375018,16546.42724877708,0,-0.00011687270428713721,True
Si,1.7551240234375016,16113.455502670235,0,1.0522847939379668e-05,True
Si,1.7651240234375019,15692.683332483475,0,0.0001745944058105427,True
Si,1.7751240234375016,15283.790793889413,0,0.00037835478451597737,True
Si,1.7851240234375019,14886.429895612377,0,0.0006218089511094149,True
Si,1.7951240234375017,14500.225646994866,0,0.0008997837385322782,True
Si,1.805124023437502,14124.778328126236,0,0.001199195021096481,True
Si,1.8151240234375017,13759.667220696407,0,0.0014959232375986176,True
Si,1.8251240234375017,13404.456006698283,0,0.0017519432185508776,True
Si,1.8351240234375017,13058.699963597888,0,0.0019140518458395186,True
Si,1.8451240234375017,12721.954939873762,0,0.0019164475531094163,True
Si,1.8551240234375017,12393.787866676292,0,0.001690510834729745,True
Si,1.8651240234375017,12073.78824213878,0,0.0011852932766487356,True
Si,1.8751240234375017,11761.579630062744,0,0.0004002258756372612,True
Si,1.8851240234375017,11456.82980298293,0,-0.0005758792867709417,True
Si,1.8951240234375017,11159.257853926974,0,-0.0015398105657974761,True
Si,1.9051240234375018,10868.636597770666,0,-0.0022011752040877277,True
Si,1.9151240234375018,10584.789115962223,0,-0.002300134733559389,True
Si,1.9251240234375018,10307.5795176589,0,-0.001795677682518241,True
Si,1.9351240234375018,10036.899732675769,0,-0.0009758946207512054,True
Si,1.9451240234375018,9772.655710677313,0,-0.00028582105278474046,True
Si,1.9551240234375018,9514.756647111333,0,5.113098662453315e-05,True
Si,1.9651240234375016,9263.109127841226,0,0.00014823780505442602,True
Si,1.9751240234375018,9017.615414219666,0,0.00017628146573163878,True
Si,1.9851240234375016,8778.173749874526,0,0.00018812557891578763,True
Si,1.9951240234375018,8544.679250135703,0,0.00018094280843191274,True
Si,2.0051240234375016,8317.024959723916,0,0.00014778292658472006,True
Si,2.015124023437502,8095.1029815041775,0,8.44183311225303e-05,True
Si,2.0251240234375016,7878.805562142649,0,-8.063516209707206e-06,True
Si,2.035124023437502,7668.025978804199,0,-0.00011980587911845456,True
Si,2.0451240234375017,7462.659045662393,0,-0.00022983252423121786,True
Si,2.055124023437502,7262.601065518397,0,-0.0003078171318217452,True
Si,2.0651240234375017,7067.749110965699,0,-0.00032323748988953105,True
Si,2.0751240234375015,6877.999645394967,0,-0.00026199580088359653,True
Si,2.0851240234375017,6693.246676091252,0,-0.00014162406432660646,True
Si,2.095124023437502,6513.37981480905,0,-7.310255265717084e-06,True
Si,2.1051240234375017,6338.2827057975,0,9.948384877134231e-05,True
Si,2.1151240234375015,6167.832176055995,0,0.00017218710975915502,True
Si,2.1251240234375017,6001.898191472646,0,0.0002302935909028747,True
Si,2.135124023437502,5840.344453727378,0,0.00028761947745200206,True
Si,2.1451240234375017,5683.02943341458,0,0.0003441932753958099,True
Si,2.1551240234375015,5529.807751804654,0,0.00039476810616179137,True
Si,2.1651240234375018,5380.531906560877,0,0.0004322827567193599,True
Si,2.175124023437502,5235.054336899054,0,0.0004480408568573087,True
Si,2.185124023437502,5093.229792196153,0,0.00043229210496065207,True
Si,2.1951240234375016,4954.917925686846,0,0.00037561643815327744,True
Si,2.205124023437502,4819.98598270865,0,0.00027135767641084385,True
Si,2.215124023437502,4688.3113944545585,0,0.00011910827227742023,True
Si,2.225124023437502,4559.784031671665,0,-7.115126921538224e-05,True
Si,2.2351240234375016,4434.307832807229,0,-0.0002756592831853292,True
Si,2.245124023437502,4311.801518658309,0,-0.0004568199473548399,True
Si,2.255124023437502,4192.198165464143,0,-0.0005699784344415093,True
Si,2.265124023437502,4075.4435509504556,0,-0.0005793681965163462,True
Si,2.2751240234375016,3961.493413409768,0,-0.00047986622287983965,True
Si,2.2851240234375014,3850.3100318307975,0,-0.00031110342153321347,True
Si,2.2951240234375017,3741.858749689275,0,-0.00014417867138642274,True
Si,2.305124023437502,3636.105095750613,0,-3.7114523214161935e-05,True
Si,2.3151240234375017,3533.01291744937,0,4.6462391765089706e-06,True
Si,2.3251240234375015,3432.543515817224,0,1.536849746723116e-05,True
Si,2.3351240234375017,3334.6554227958377,0,2.289567199416827e-05,True
Si,2.345124023437502,3239.304429114287,0,3.332956680424104e-05,True
Si,2.3551240234375017,3146.443676500052,0,4.555326510550609e-05,True
Si,2.3651240234375015,3056.023795053046,0,5.894406634373202e-05,True
Si,2.3751240234375017,2967.9931032230193,0,7.315168644102717e-05,True
Si,2.385124023437502,2882.2978811291487,0,8.766196318295745e-05,True
Si,2.3951240234375017,2798.8827242244333,0,0.00010172035710335572,True
Si,2.4051240234375015,2717.690982205814,0,0.00011428674717232448,True
Si,2.4151240234375018,2638.6652849859556,0,0.00012401110825521755,True
Si,2.425124023437502,2561.748153015386,0,0.00012924216738004662,True
Si,2.435124023437502,2486.88268300298,0,0.0001280964728114971,True
Si,2.4451240234375016,2414.013291982609,0,0.00011862122270637579,True
